0000000000000000000000000000000000000000 0da239747119c9bdbc10db8af4bd108df6101355 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592991545 +0700	clone: from https://github.com/saigon-tech/git-exercise.git
0da239747119c9bdbc10db8af4bd108df6101355 0fbc2e658cae52e054a2e54639062e2fbe65b23a ckthanh-sgt <ckthanh-sgt@gmail.com> 1592991559 +0700	checkout: moving from master to develop
0fbc2e658cae52e054a2e54639062e2fbe65b23a 0fbc2e658cae52e054a2e54639062e2fbe65b23a ckthanh-sgt <ckthanh-sgt@gmail.com> 1592991662 +0700	checkout: moving from develop to feature/issue_37-ckthanh-exercise
0fbc2e658cae52e054a2e54639062e2fbe65b23a b26e9eb7c9c2f6560408fd2d549c6e09f820be8e ckthanh-sgt <ckthanh-sgt@gmail.com> 1592991767 +0700	commit: #37 Coding UI
b26e9eb7c9c2f6560408fd2d549c6e09f820be8e ab39e64da8c8a221565617f54d7355d8e8c5771e ckthanh-sgt <ckthanh-sgt@gmail.com> 1592992090 +0700	commit: #37 Coding Process
ab39e64da8c8a221565617f54d7355d8e8c5771e 66edb69de79e988f55131eca4878790037679f6b ckthanh-sgt <ckthanh-sgt@gmail.com> 1592992183 +0700	commit: #37 Coding Unit Test
66edb69de79e988f55131eca4878790037679f6b 853bcdf2aa6bd24fb76e21058258d4d2fcdaf98b ckthanh-sgt <ckthanh-sgt@gmail.com> 1592992559 +0700	commit (amend): Thanh Coding Unit Test and Functional Test
853bcdf2aa6bd24fb76e21058258d4d2fcdaf98b 97a6591e24f44fb0d540d0e73f8e6575a7a0c29d ckthanh-sgt <ckthanh-sgt@gmail.com> 1592993862 +0700	pull origin feature/issue_37-ckthanh-exercise: Merge made by the 'recursive' strategy.
97a6591e24f44fb0d540d0e73f8e6575a7a0c29d a45f7804255ed45c28de009e25e6143db81bd3b0 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592994559 +0700	commit: #37 Fix bug 1
a45f7804255ed45c28de009e25e6143db81bd3b0 62d169dfe2231d620c80b79d02221df03836fe34 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592994630 +0700	commit: #37 Fix bug 2
62d169dfe2231d620c80b79d02221df03836fe34 1fdcecb4dae6c98698a5caa0caffc72af5232926 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592994696 +0700	commit: Fix bug 3
1fdcecb4dae6c98698a5caa0caffc72af5232926 0fbc2e658cae52e054a2e54639062e2fbe65b23a ckthanh-sgt <ckthanh-sgt@gmail.com> 1592994972 +0700	checkout: moving from feature/issue_37-ckthanh-exercise to develop
0fbc2e658cae52e054a2e54639062e2fbe65b23a 661c92b4fa9a29afdb6fef80fd9b758781860794 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592994982 +0700	checkout: moving from develop to feature/issue_00-List-Screen
661c92b4fa9a29afdb6fef80fd9b758781860794 1fdcecb4dae6c98698a5caa0caffc72af5232926 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995004 +0700	checkout: moving from feature/issue_00-List-Screen to feature/issue_37-ckthanh-exercise
1fdcecb4dae6c98698a5caa0caffc72af5232926 661c92b4fa9a29afdb6fef80fd9b758781860794 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: checkout feature/issue_00-List-Screen
661c92b4fa9a29afdb6fef80fd9b758781860794 c6efb63315e9522b693e6af31c31dd656f604029 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: Update README.md
c6efb63315e9522b693e6af31c31dd656f604029 7c671e41959de3f73fadddc7c8c143f48516c9d9 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: register.html
7c671e41959de3f73fadddc7c8c143f48516c9d9 a1929f51163cee066851b6a676a9dd75bb838b09 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: Delete register.html
a1929f51163cee066851b6a676a9dd75bb838b09 69626b9aef62421f32779b732aa4f6716529e4da ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: #37 Coding UI
69626b9aef62421f32779b732aa4f6716529e4da b63138858e02d38b90263c4b9dba0af47e2811e2 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: #37 Coding Process
b63138858e02d38b90263c4b9dba0af47e2811e2 01416276a0e4b0c959bb5ddab3a6f20052728870 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: Thanh Coding Unit Test and Functional Test
01416276a0e4b0c959bb5ddab3a6f20052728870 baa0a7d6f1f328d780af0025b553b96024932f70 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: #37 Fix bug 1
baa0a7d6f1f328d780af0025b553b96024932f70 7dd323b96185be1c4ca4721073b1400f2a05ecab ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: #37 Fix bug 2
7dd323b96185be1c4ca4721073b1400f2a05ecab cf42487cca6a8f7b22c8fc9f14c8888a334342f3 ckthanh-sgt <ckthanh-sgt@gmail.com> 1592995011 +0700	rebase: Fix bug 3
